metro_info,flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,year_of_bulding,price
"{'Underground name': ['Приморская', 'Василеостровская', 'Спортивная'], 'Underground time': ['7', '11', '13'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,59.4,26.7,16.6,3,2020,22000000
"{'Underground name': ['Парк Победы', 'Электросила', 'Бухарестская'], 'Underground time': ['13', '16', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,77.8,50.1,10.0,2,1956,21990000
"{'Underground name': ['Пушкинская', 'Звенигородская', 'Технологический институт'], 'Underground time': ['5', '7', '15'], 'Transport type': ['legs', 'legs', 'legs']}",1,4-комнатная,85.0,51.4,28.0,8,2023,22100000
"{'Underground name': ['Лесная', 'Выборгская', 'Площадь Ленина'], 'Underground time': ['3', '17', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,95.2,38.0,30.0,3,1934,22500000
"{'Underground name': ['Чернышевская', 'Площадь Восстания', 'Маяковская'], 'Underground time': ['18', '23', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,78.0,55.8,8.9,7,1956,20800000
"{'Underground name': ['Новочеркасская', 'Ладожская', 'Площадь Александра Невского'], 'Underground time': ['12', '25', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,66.2,29.8,17.0,4,2023,21990000
"{'Underground name': ['Гостиный двор', 'Чернышевская', 'Невский проспект'], 'Underground time': ['15', '16', '16'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,59.3,37.1,6.4,3,1777,20990000
"{'Underground name': ['Лесная', 'Черная речка', 'Выборгская'], 'Underground time': ['11', '23', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,83.2,35.1,25.0,10,2023,22690000
"{'Underground name': ['Новочеркасская', 'Ладожская', 'Площадь Александра Невского'], 'Underground time': ['10', '4', '4'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,48.6,32.6,7.2,4,1937,21000000
"{'Underground name': ['Василеостровская', 'Спортивная', 'Приморская'], 'Underground time': ['15', '18', '25'], 'Transport type': ['legs', 'legs', 'legs']}",1,4-комнатная,116.3,86.4,20.0,3,1913,22300000
"{'Underground name': ['Площадь Александра Невского', 'Площадь Восстания', 'Маяковская'], 'Underground time': ['6', '15', '19'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,68.0,35.1,11.6,6,1907,21900000
"{'Underground name': ['Лесная', 'Выборгская', 'Петроградская'], 'Underground time': ['19', '5', '6'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,70.2,30.0,22.4,12,2022,22000000
"{'Underground name': ['Политехническая', 'Площадь Мужества', 'Академическая'], 'Underground time': ['6', '15', '5'], 'Transport type': ['legs', 'legs', 'car']}",0,3-комнатная,59.38,35.3,10.5,10,2026,21970600
"{'Underground name': ['Фрунзенская', 'Технологический институт', 'Балтийская'], 'Underground time': ['3', '17', '18'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,60.4,33.7,12.0,9,2015,22348000
"{'Underground name': ['Технологический институт', 'Фрунзенская', 'Пушкинская'], 'Underground time': ['7', '7', '17'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,96.0,71.0,8.0,3,1917,21900000
"{'Underground name': ['Площадь Ленина', 'Новочеркасская', 'Площадь Александра Невского'], 'Underground time': ['5', '6', '7'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,48.0,21.9,15.3,3,2016,22800000
"{'Underground name': ['Технологический институт', 'Фрунзенская', 'Пушкинская'], 'Underground time': ['7', '11', '16'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,77.4,55.0,7.0,3,1891,22000000
"{'Underground name': ['Горный институт', 'Василеостровская', 'Приморская'], 'Underground time': ['откроется', '24', '24'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,75.9,51.7,19.2,9,2020,18400000
"{'Underground name': ['Крестовский остров', 'Спортивная', 'Василеостровская'], 'Underground time': ['16', '5', '6'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,42.3,17.3,11.1,5,2023,18490000
"{'Underground name': ['Василеостровская', 'Спортивная'], 'Underground time': ['10', '13'], 'Transport type': ['legs', 'legs']}",1,Неизвестно,86.6,60.2,10.0,5,1917,19450000
"{'Underground name': ['Международная', 'Бухарестская', 'Волковская'], 'Underground time': ['8', '21', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,92.8,46.0,13.0,5,2004,19000000
"{'Underground name': ['Новочеркасская', 'Площадь Александра Невского', 'Ладожская'], 'Underground time': ['6', '22', '4'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,52.64,20.8,18.2,5,2024,20500000
"{'Underground name': ['Горьковская', 'Петроградская', 'Площадь Ленина'], 'Underground time': ['9', '20', '24'], 'Transport type': ['legs', 'legs', 'legs']}",1,4-комнатная,117.4,73.0,14.3,4,1904,19990000
