flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,price,metro_station,minutes_to_metro,transfer_type,house_age,is_future_building
1,2-комнатная,45.8,28.2,8.4,8,7900000,Международная,16,пешком,56,0
1,3-комнатная,59.1,45.5,6.2,4,8600000,Академическая,6,на машине,59,0
1,2-комнатная,45.0,29.0,6.0,4,7800000,Московская,8,пешком,63,0
1,2-комнатная,34.8,21.2,7.0,1,7990000,Удельная,15,пешком,47,0
1,2-комнатная,33.6,19.2,6.2,2,8350000,Балтийская,9,пешком,145,0
1,2-комнатная,51.14,33.0,6.7,9,8500000,Улица Дыбенко,12,пешком,51,0
1,3-комнатная,61.2,42.0,7.0,12,8500000,Ладожская,9,на машине,39,0
1,2-комнатная,52.2,31.7,5.7,2,7899999,Елизаровская,13,пешком,67,0
1,Студия,21.9,13.9,3.0,2,7900000,Лесная,10,пешком,3,0
1,2-комнатная,51.9,28.7,7.0,7,8700000,Проспект Славы,18,пешком,37,0
1,2-комнатная,45.5,28.0,7.0,6,7850000,Проспект Просвещения,5,пешком,46,0
1,1-комнатная,34.0,10.3,16.6,12,8000000,Парнас,14,пешком,5,0
1,2-комнатная,51.3,28.2,7.9,1,8000000,Проспект Большевиков,10,пешком,31,0
1,2-комнатная,59.4,32.3,8.7,4,8550000,Московские ворота,6,пешком,108,0
1,1-комнатная,42.4,23.4,14.0,2,7900000,Комендантский проспект,5,на машине,15,0
0,2-комнатная,56.3,23.3,18.7,6,18213129,Елизаровская,6,пешком,0,1
1,1-комнатная,30.0,17.5,5.7,3,6690000,Черная речка,12,пешком,62,0
1,1-комнатная,31.1,15.7,8.2,5,5800000,Пионерская,11,пешком,51,0
0,2-комнатная,48.71,21.1,15.4,3,9352384,Беговая,13,на машине,0,1
0,2-комнатная,52.4,25.0,13.5,2,14585364,Беговая,20,на машине,0,1
0,1-комнатная,32.84,15.9,9.6,2,6898296,Беговая,14,на машине,0,0
0,1-комнатная,48.31,12.0,24.2,6,18639447,Черная речка,9,пешком,0,0
1,Студия,27.6,20.5,5.0,12,5950000,Парнас,11,пешком,2,0
1,1-комнатная,30.5,17.2,5.6,2,5200000,Академическая,12,пешком,60,0
1,Студия,23.84,15.8,5.0,13,5990000,Приморская,9,на машине,2,0
1,2-комнатная,78.8,39.1,19.0,2,28368000,Василеостровская,8,пешком,1,0
1,Студия,28.0,20.0,8.0,14,4499999,Ломоносовская,8,на машине,12,0
0,1-комнатная,33.8,8.0,14.3,4,11058481,Приморская,5,на машине,0,1
0,1-комнатная,37.1,12.4,14.1,7,13477306,Елизаровская,6,пешком,0,1
1,3-комнатная,85.1,43.3,15.4,9,28083000,Фрунзенская,6,пешком,10,0
1,Неизвестно,177.8,116.2,19.1,5,31900000,Гостиный двор,7,пешком,143,0
1,3-комнатная,115.0,65.2,15.0,2,33000000,Удельная,14,пешком,22,0
1,3-комнатная,86.6,40.6,19.8,4,32500000,Достоевская,3,пешком,150,0
1,3-комнатная,65.0,39.5,11.0,5,30000000,Фрунзенская,8,пешком,11,0
1,3-комнатная,108.0,35.5,44.0,2,33500000,Удельная,22,пешком,10,0
1,2-комнатная,104.0,67.0,17.0,5,34000000,Обводный канал,4,пешком,117,0
1,3-комнатная,72.0,41.0,6.0,2,32500000,Площадь Восстания,11,пешком,172,0
1,3-комнатная,99.1,44.6,26.0,3,34200000,Удельная,9,пешком,4,0
1,3-комнатная,84.5,48.8,14.5,3,34990000,Чернышевская,10,пешком,175,0
1,3-комнатная,100.2,55.4,18.7,9,33090000,Спортивная,16,пешком,7,0
1,2-комнатная,93.1,47.6,20.0,8,32550000,Чкаловская,6,пешком,12,0
